"prior_samples","past_leakage","T1_level_percent","T1_percent","T2_percent","optimal_samples"
9500,11,95,0.185049177,1,364.022465
9500,12,95,0.198094555,1,374.2419961
9500,13,95,0.211038515,1,384.7414359
9500,14,95,0.223892339,1,395.6142963
9500,15,95,0.236665359,1,408.4500018
9500,16,95,0.249365397,1,418.7330689
9500,17,95,0.26199909,1,430.929324
9500,18,95,0.274572124,1,443.7408856
9500,19,95,0.287089413,1,457.0461868
9500,20,95,0.299555244,1,470.9351574
9500,21,95,0.311973379,1,485.3879041
9500,22,95,0.324347142,1,500.5695916
9500,23,95,0.336679487,1,516.3523515
9500,24,95,0.348973054,1,532.8372796
9500,25,95,0.361230214,1,550.2668325
9500,26,95,0.373453104,1,568.4808553
9500,27,95,0.38564366,1,587.3814917
9500,28,95,0.397803643,1,607.4828673
9500,0,96,0.022196345,0.4,727.9814047
9500,1,96,0.04373459,0.4,822.8820124
9500,2,96,0.061272017,0.4,906.3107282
9500,3,96,0.077364699,0.4,989.9746332
9500,4,96,0.092649272,0.4,1075.967694
9500,5,96,0.107399498,0.4,1170.491158
9500,6,96,0.121762648,0.4,1271.433599
9500,7,96,0.135828698,0.4,1381.185757
9500,8,96,0.149657377,0.4,1502.580273
9500,9,96,0.163290731,0.4,1636.593875
9500,10,96,0.176759684,0.4,1786.462
9500,11,96,0.190087768,0.4,1956.241412
9500,12,96,0.20329338,0.4,2146.563363
9500,13,96,0.216391228,0.4,2364.665771
9500,14,96,0.22939329,0.4,2619.910816
9500,15,96,0.242309475,0.4,2907.560626
9500,16,96,0.255148092,0.4,3249.449704
9500,17,96,0.267916187,0.4,3654.287612
9500,18,96,0.280619801,0.4,4141.298386
9500,19,96,0.293264156,0.4,4741.540903
9500,20,96,0.305853804,0.4,5470.485893
9500,21,96,0.318392744,0.4,6404.889666
9500,22,96,0.330884506,0.4,7626.308179
9500,23,96,0.34333223,0.4,9280.793741
9500,24,96,0.355738721,0.4,11626.46337
9500,0,96,0.022196345,0.5,579.4046012
9500,1,96,0.04373459,0.5,644.545783
9500,2,96,0.061272017,0.5,699.1002052
9500,3,96,0.077364699,0.5,752.3167208
9500,4,96,0.092649272,0.5,806.314409
9500,5,96,0.107399498,0.5,862.2255524
9500,6,96,0.121762648,0.5,920.97175
9500,7,96,0.135828698,0.5,983.1977968
9500,8,96,0.149657377,0.5,1049.520171
9500,9,96,0.163290731,0.5,1120.840124
9500,10,96,0.176759684,0.5,1197.448351
9500,11,96,0.190087768,0.5,1280.734331
9500,12,96,0.20329338,0.5,1368.359449
9500,13,96,0.216391228,0.5,1470.512111
9500,14,96,0.22939329,0.5,1579.04331
9500,15,96,0.242309475,0.5,1698.637001
9500,16,96,0.255148092,0.5,1831.214566
9500,17,96,0.267916187,0.5,1978.765754
9500,18,96,0.280619801,0.5,2139.398638
9500,19,96,0.293264156,0.5,2329.104662
9500,20,96,0.305853804,0.5,2538.881312
9500,21,96,0.318392744,0.5,2775.973081
9500,22,96,0.330884506,0.5,3051.721122
9500,23,96,0.34333223,0.5,3368.177622
9500,24,96,0.355738721,0.5,3732.993733
9500,25,96,0.3681065,0.5,4172.750048
9500,26,96,0.380437837,0.5,4693.193739
9500,27,96,0.39273479,0.5,5318.930904
9500,28,96,0.40499923,0.5,6089.936612
9500,0,96,0.022196345,0.6,480.9788691
9500,1,96,0.04373459,0.6,529.7570839
9500,2,96,0.061272017,0.6,568.7158367
9500,3,96,0.077364699,0.6,606.2628182
9500,4,96,0.092649272,0.6,643.4933953
9500,5,96,0.107399498,0.6,681.3418696
9500,6,96,0.121762648,0.6,720.2973507
9500,7,96,0.135828698,0.6,760.5415376
9500,8,96,0.149657377,0.6,803.185227
9500,9,96,0.163290731,0.6,847.7100499
9500,10,96,0.176759684,0.6,894.9529422
9500,11,96,0.190087768,0.6,944.7834712
9500,12,96,0.20329338,0.6,998.2373275
9500,13,96,0.216391228,0.6,1054.670891
9500,14,96,0.22939329,0.6,1115.327097
9500,15,96,0.242309475,0.6,1180.447486
9500,16,96,0.255148092,0.6,1250.59611
9500,17,96,0.267916187,0.6,1321.581517
9500,18,96,0.280619801,0.6,1408.331484
9500,19,96,0.293264156,0.6,1497.623768
9500,20,96,0.305853804,0.6,1593.875575
9500,21,96,0.318392744,0.6,1700.907048
9500,22,96,0.330884506,0.6,1817.451099
9500,23,96,0.34333223,0.6,1945.479763
9500,24,96,0.355738721,0.6,2087.327015
9500,25,96,0.3681065,0.6,2244.974083
9500,26,96,0.380437837,0.6,2420.632921
9500,27,96,0.39273479,0.6,2617.491583
9500,28,96,0.40499923,0.6,2839.517397
9500,0,96,0.022196345,0.7,410.7671007
9500,1,96,0.04373459,0.7,448.4931518
9500,2,96,0.061272017,0.7,479.0845356
9500,3,96,0.077364699,0.7,507.3143104
9500,4,96,0.092649272,0.7,534.8287582
9500,5,96,0.107399498,0.7,562.5753915
9500,6,96,0.121762648,0.7,590.6608716
9500,7,96,0.135828698,0.7,619.3928254
9500,8,96,0.149657377,0.7,649.1245911
9500,9,96,0.163290731,0.7,680.0566153
9500,10,96,0.176759684,0.7,712.0440375
9500,11,96,0.190087768,0.7,745.6588498
9500,12,96,0.20329338,0.7,781.0070535
9500,13,96,0.216391228,0.7,817.9114271
9500,14,96,0.22939329,0.7,856.8517894
9500,15,96,0.242309475,0.7,897.9197526
9500,16,96,0.255148092,0.7,941.5907543
9500,17,96,0.267916187,0.7,987.7090299
9500,18,96,0.280619801,0.7,1036.962766
9500,19,96,0.293264156,0.7,1088.764255
9500,20,96,0.305853804,0.7,1144.97837
9500,21,96,0.318392744,0.7,1204.930778
9500,22,96,0.330884506,0.7,1268.541537
9500,23,96,0.34333223,0.7,1337.821725
9500,24,96,0.355738721,0.7,1412.175014
9500,25,96,0.3681065,0.7,1492.003652
9500,26,96,0.380437837,0.7,1578.588379
9500,27,96,0.39273479,0.7,1672.670095
9500,28,96,0.40499923,0.7,1774.189113
9500,0,96,0.022196345,0.8,358.5217803
9500,1,96,0.04373459,0.8,389.4972226
9500,2,96,0.061272017,0.8,413.7542679
9500,3,96,0.077364699,0.8,435.9864743
9500,4,96,0.092649272,0.8,457.4737302
9500,5,96,0.107399498,0.8,478.7700641
9500,6,96,0.121762648,0.8,500.2197088
9500,7,96,0.135828698,0.8,521.8597866
9500,8,96,0.149657377,0.8,544.0781326
9500,9,96,0.163290731,0.8,569.555306
